date	content
2023-02-09 07:12:43+00:00	Acme junction inward Agidingbi, Cadbury junction, Mobil junction, daily times down to Coca-cola junction is good to go.     
2023-02-09 07:18:48+00:00	Approaching Lekki conservation centre is busy towards Chevron, Igbo efon and Jakande due to morning rush.
2023-02-09 07:18:49+00:00	Connecting Marwa from Ikate is good Marwa back to Ajah proper is good
2023-02-09 07:29:07+00:00	Cele inward Cele/ijesha fly over bridge is busy but moving steadily due to construction work at the other side of Cele
2023-02-09 07:29:08+00:00	Movement from Cele inward Ago roundabout is busy due to alternation at the junction.
2023-02-09 07:29:08+00:00	Vehicular  movement from Ago roundabout inward Apata enroute Transformer to Ilasa is also busy due to early morning rush.
2023-02-09 07:29:08+00:00	Movement from Ago roundabout inward pako/chemist is good
2023-02-09 07:29:08+00:00	Vehicular movement from Oke-afa  enroute Pako, Kogberegbe, Ire akari junction, Ishaga, College inward Aye is busy  due to alternation at College/Aye junction  and early morning rush
2023-02-09 07:29:09+00:00	Connecting Aye inward limca, Laspotech, Daleko is good to go
2023-02-09 07:29:09+00:00	Vehicular movement from 5star inward Iyana isolo enroute Ilasa, Cele inward Ijesha is also good on  the main carriage way and the service lane
2023-02-09 07:52:10+00:00	Abule egba inward Charity is free Charity to Abattoir enroute Emmanuel is gtg
2023-02-09 07:52:11+00:00	Oke koto inward Sofunde down to agbotikuyo enroute Alagba  is good
2023-02-09 07:52:11+00:00	return journey frm Alagba inw Oke koto is gd
2023-02-09 07:52:11+00:00	Sofunde inwd oke koto is slow
2023-02-09 07:52:11+00:00	Oke koto inward Oniwaya is good to go likewise the return journey back to Oke koto
2023-02-09 07:52:11+00:00	Oke koto to Oba ogunji inward Odo eran is slow
2023-02-09 07:52:12+00:00	Odo eran inward Marketing is good to go likewise return journey
2023-02-09 07:52:12+00:00	Marketing inward Stadium to Maternity inward Balogun Pencinema is good to go.
2023-02-09 07:52:12+00:00	Odo eran to Wemco inw Metal box is slow
2023-02-09 07:52:13+00:00	Marketing inward Akilo to Ascon junction inward Acme down to Fumec is good to go
2023-02-09 07:52:13+00:00	Return journey from Fumec to Metal box is good to go
2023-02-09 07:52:13+00:00	Wemco junction down to Odo eran  Mobile Asade inw Akani Doherty is slow at the moment.
